repo_id,n_modules,total_edges,cf_edges,has_cf,sec_reached,stars,forks,size_kb
1067203,4,1,0,0,0,5,1,3650
7363082,1,0,0,0,0,0,0,1166
14257046,2,0,0,0,0,0,2,32
8726447,3,1,1,1,1,8,7,393
16552944,17,5,5,1,0,0,0,7461
21320116,2,0,0,0,0,0,0,4
19860381,4,0,0,0,0,10,2,52143
24971058,1,0,0,0,0,2,14,258
26067899,1,0,0,0,0,21,15,153
26092450,9,3,3,1,0,0,1,214
24050898,67,118,118,1,0,3,3,3220
26136069,1,0,0,0,0,49,32,111
27902337,1,0,0,0,0,9,26,36
28750805,3,0,0,0,0,2,2,17
29850105,9,1,1,1,1,0,0,77
29876883,1,0,0,0,0,1,2,13
30969846,1,0,0,0,0,0,1,172
31316356,34,61,53,1,1,15,11,2243
31423060,1,0,0,0,0,65,56,38
32051703,18,24,24,1,0,134,56,2033
33077909,1,1,0,0,0,4,3,13
32483616,2,0,0,0,0,0,20,1609
33079328,1,2,0,0,0,10,5,35
32445994,144,373,366,1,1,204,98,1929
33672012,1,0,0,0,0,17,21,13
33856608,1,0,0,0,0,38,22,35
34655489,1,0,0,0,0,4,2,7
35163384,1,0,0,0,0,3,4,18
35818601,1,0,0,0,0,8,14,57
35852922,3,3,1,1,0,6,5,1565
36464319,1,0,0,0,0,113,31,30
37199827,1,0,0,0,0,6,4,280
37594252,1,0,0,0,0,0,0,10
37230062,1,0,0,0,0,0,0,42
37947896,2,1,1,1,0,1,0,17
37700516,1,0,0,0,0,0,0,31
38123559,1,0,0,0,0,0,0,34
38380595,1,0,0,0,0,67,15,6
39088427,11,0,0,0,0,0,0,59
39522912,2,10,0,0,0,7,2,53
39525943,6,0,0,0,0,79,32,31
39528054,1,0,0,0,0,0,0,6
39134653,1,0,0,0,0,1,1,168
40188302,1,2,0,0,0,5,0,124
40655661,6,5,5,1,1,4,4,254
39829249,15,91,70,1,1,6,2,1296
41064388,1,0,0,0,0,1,2,10
40656512,1,0,0,0,0,4,0,152
40863038,9,8,8,1,0,8,6,65
40655724,3,2,2,1,0,0,2,186
41269312,1,0,0,0,0,14,10,151
41303948,6,0,0,0,0,3,0,19
41156305,2,0,0,0,0,0,0,132
41070641,1,0,0,0,0,3,3,160
41441052,1,0,0,0,0,0,0,140
41395355,1,0,0,0,0,0,2,144
41516391,7,3,3,1,0,1,0,160
41561471,1,0,0,0,0,183,108,13
41979747,3,2,2,1,1,1,0,220
42706935,1,0,0,0,0,0,0,54
42830308,1,0,0,0,0,2,4,145
43533566,1,0,0,0,0,1,0,8
43067584,1,0,0,0,0,0,0,20
43327880,1,0,0,0,0,0,0,148
43372778,4,3,3,1,0,0,2,148
43617566,1,0,0,0,0,0,0,148
43685750,1,0,0,0,0,3,1,144
43889174,1,0,0,0,0,0,0,16
43760255,1,0,0,0,0,0,1,18
44017072,1,0,0,0,0,0,0,15
44401915,1,0,0,0,0,2,8,164
44143282,2,0,0,0,0,0,1,156
44245770,4,0,0,0,0,0,2,79
44422108,1,0,0,0,0,0,0,5
44549970,1,0,0,0,0,0,0,8
44498467,8,9,9,1,1,33,19,167
44826275,1,0,0,0,0,0,2,148
44810763,1,0,0,0,0,0,0,116
44889245,1,0,0,0,0,4,1,160
44776348,6,0,0,0,0,60,74,291
45000732,1,0,0,0,0,50,28,17
45221936,7,4,4,1,1,32,15,20
45051404,1,0,0,0,0,43,11,11
45001096,6,5,3,1,0,54,30,138
45349030,2,0,0,0,0,1,1,12
45692616,1,0,0,0,0,1,1,42
45352318,1,0,0,0,0,2,0,3
45932086,32,42,41,1,1,1487,415,399
45952449,1,0,0,0,0,0,0,26
46007776,1,0,0,0,0,85,69,97
46007097,1,0,0,0,0,29,72,70
46080679,1,0,0,0,0,33,32,25
46196701,1,0,0,0,0,1,1,55
46358826,2,1,1,1,0,0,3,25
46353795,2,1,1,1,0,0,2,25
46232991,1,0,0,0,0,0,0,32
46441258,1,0,0,0,0,0,0,14
46450125,1,0,0,0,0,2,0,12
46749260,1,0,0,0,0,0,0,4
46488354,4,6,3,1,1,20,11,237
46788404,4,1,1,1,1,0,0,14
46891721,3,2,0,0,0,0,0,8
46976266,6,8,8,1,0,9,3,191
47032279,2,0,0,0,0,0,0,215
47260138,2,1,0,0,0,190,118,67
47265866,1,0,0,0,0,0,0,49
47289553,6,5,5,1,1,1,0,1574
47381118,97,15,4,1,0,0,1,16798
47415192,1,0,0,0,0,203,102,9
47394184,1,0,0,0,0,1,0,54
47425874,1,0,0,0,0,12,4,1169
47563369,3,0,0,0,0,0,0,31
47757742,1,0,0,0,0,4,10,6
47759378,1,0,0,0,0,10,11,9
47758464,1,0,0,0,0,6,10,7
47584070,1,0,0,0,0,0,2,86805
47810931,1,0,0,0,0,0,0,6
47911508,1,0,0,0,0,5,1,1
47937678,1,0,0,0,0,334,92,92
47857482,5,4,4,1,0,9,8,37
48171079,1,0,0,0,0,6,6,91
48292534,9,8,8,1,1,0,0,326
48248053,7,0,0,0,0,3,4,172
48376844,1,0,0,0,0,0,0,6
48530193,1,0,0,0,0,0,1,3
48365929,6,0,0,0,0,27,17,437
48648770,1,2,0,0,0,11,11,7
48929255,1,0,0,0,0,25,22,109
48846178,2,0,0,0,0,4,0,403
48989873,2,2,1,1,1,4,0,119
49077663,2,1,1,1,1,23,17,4
49248775,1,0,0,0,0,8,9,10
49177139,3,0,0,0,0,0,0,15
49104775,11,0,0,0,0,1,0,165
49287846,5,3,3,1,0,0,2,12
