src_dir,source,target,resolved
infrastructure/production,../modules/somleng_freeswitch,infrastructure/modules/somleng_freeswitch,True
Scenarios/sample-apps/petclinic/terraform,./modules/app_instance,Scenarios/sample-apps/petclinic/terraform/modules/app_instance,True
Scenarios/sample-apps/petclinic/terraform,./modules/app_instance,Scenarios/sample-apps/petclinic/terraform/modules/app_instance,True
Scenarios/sample-apps/petclinic/terraform,./modules/app_instance,Scenarios/sample-apps/petclinic/terraform/modules/app_instance,True
Scenarios/sample-apps/petclinic/terraform,./modules/app_instance,Scenarios/sample-apps/petclinic/terraform/modules/app_instance,True
Scenarios/sample-apps/petclinic/terraform,./modules/app_instance,Scenarios/sample-apps/petclinic/terraform/modules/app_instance,True
haproxy,./servercert,haproxy/servercert,True
tlsproxy,./servercert,tlsproxy/servercert,True
tlsproxy,./servercert,tlsproxy/servercert,True
terraform/modules/apt/v1,../../hgi-openstack-instance/v2,terraform/modules/hgi-openstack-instance/v2,True
terraform/modules/arvados/v2/api-db,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v2/cluster,../shell,terraform/modules/arvados/v2/shell,True
terraform/modules/arvados/v2/cluster,../compute-node-noconf,terraform/modules/arvados/v2/compute-node-noconf,True
terraform/modules/arvados/v2/cluster,../master,terraform/modules/arvados/v2/master,True
terraform/modules/arvados/v2/cluster,../keepproxy,terraform/modules/arvados/v2/keepproxy,True
terraform/modules/arvados/v2/cluster,../sso,terraform/modules/arvados/v2/sso,True
terraform/modules/arvados/v2/cluster,../workbench,terraform/modules/arvados/v2/workbench,True
terraform/modules/arvados/v2/cluster,../keep,terraform/modules/arvados/v2/keep,True
terraform/modules/arvados/v2/cluster,../monitor,terraform/modules/arvados/v2/monitor,True
terraform/modules/arvados/v2/cluster,../api-backend,terraform/modules/arvados/v2/api-backend,False
terraform/modules/arvados/v2/cluster,../api-db,terraform/modules/arvados/v2/api-db,True
terraform/modules/arvados/v2/compute-node-noconf,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v2/keep,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v2/keepproxy,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v2/master,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v2/monitor,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v2/shell,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v2/sso,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v2/workbench,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v3/api-backend,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v3/api-db,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v3/cluster,../shell,terraform/modules/arvados/v3/shell,True
terraform/modules/arvados/v3/cluster,../irobot,terraform/modules/arvados/v3/irobot,True
terraform/modules/arvados/v3/cluster,../master,terraform/modules/arvados/v3/master,True
terraform/modules/arvados/v3/cluster,../sso,terraform/modules/arvados/v3/sso,True
terraform/modules/arvados/v3/cluster,../keepproxy,terraform/modules/arvados/v3/keepproxy,True
terraform/modules/arvados/v3/cluster,../keep,terraform/modules/arvados/v3/keep,True
terraform/modules/arvados/v3/cluster,../compute-node-noconf,terraform/modules/arvados/v3/compute-node-noconf,True
terraform/modules/arvados/v3/cluster,../api-backend,terraform/modules/arvados/v3/api-backend,True
terraform/modules/arvados/v3/cluster,../api-db,terraform/modules/arvados/v3/api-db,True
terraform/modules/arvados/v3/cluster,../workbench,terraform/modules/arvados/v3/workbench,True
terraform/modules/arvados/v3/cluster,../monitor,terraform/modules/arvados/v3/monitor,True
terraform/modules/arvados/v3/compute-node-noconf,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v3/irobot,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v3/keep,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v3/keepproxy,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v3/master,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v3/monitor,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v3/shell,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v3/sso,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v3/workbench,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v4/api-backend,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v4/api-db,../../../hgi-openstack-instance/v1,terraform/modules/hgi-openstack-instance/v1,True
terraform/modules/arvados/v4/cluster,../workbench,terraform/modules/arvados/v4/workbench,True
terraform/modules/arvados/v4/cluster,../keepproxy,terraform/modules/arvados/v4/keepproxy,True
terraform/modules/arvados/v4/cluster,../monitor,terraform/modules/arvados/v4/monitor,True
terraform/modules/arvados/v4/cluster,../master,terraform/modules/arvados/v4/master,True
terraform/modules/arvados/v4/cluster,../api-db,terraform/modules/arvados/v4/api-db,True
